Rank,Name,Symbol,Price,1h %,24h %,7d %,Market Cap,Volume(24h)
,CoinMarketCap 20 Index DTF,CMC20,$151.82,0.23%,0.46%,3.03%,"$15.96M$15,958,365","$2,122,44313.97K"
1,Bitcoin,BTC,"$74,392.78",0.07%,0.54%,2.78%,"$1.49T$1,488,114,795,756","$41,689,822,230560.77K"
2,Ethereum,ETH,"$2,327.04",0.17%,0.71%,4.75%,"$280.84B$280,839,444,430","$20,147,320,0638.65M"
3,Tether,USDT,$1.00,0.01%,0.01%,0.00%,"$185.75B$185,750,525,196","$129,842,831,322129.83B"
4,XRP,XRP,$1.42,0.09%,3.52%,4.89%,"$87.78B$87,783,822,423","$3,964,236,4412.78B"
5,BNB,BNB,$627.08,0.16%,1.07%,3.10%,"$84.52B$84,522,380,346","$1,721,080,2992.74M"
6,USDC,USDC,$0.9997,0.01%,0.01%,0.02%,"$78.67B$78,665,242,647","$51,310,164,94751.32B"
7,Solana,SOL,$86.36,0.03%,2.15%,2.31%,"$49.68B$49,684,417,234","$5,031,065,71858.25M"
8,TRON,TRX,$0.3267,0.05%,0.26%,2.38%,"$30.97B$30,970,183,446","$734,838,5342.24B"
9,Dogecoin,DOGE,$0.09766,0.52%,3.08%,4.58%,"$15.03B$15,027,070,406","$2,512,413,76625.72B"
10,Hyperliquid,HYPE,$43.80,0.87%,1.03%,9.82%,"$11.2B$11,196,880,931","$347,961,7817.94M"
11,UNUS SED LEO,LEO,$10.14,0.03%,0.03%,0.43%,"$9.34B$9,339,926,638","$491,82148.48K"
12,Cardano,ADA,$0.2530,0.23%,3.31%,1.35%,"$9.15B$9,152,122,499","$659,252,6202.60B"
13,Bitcoin Cash,BCH,$440.00,0.08%,0.81%,0.98%,"$8.81B$8,809,729,816","$261,927,855595.28K"
14,Chainlink,LINK,$9.41,0.44%,2.09%,4.44%,"$6.84B$6,842,024,286","$683,553,59272.64M"
15,Monero,XMR,$343.91,0.40%,1.29%,0.30%,"$6.34B$6,344,082,854","$100,463,763292.11K"
16,Ethena USDe,USDe,$0.9997,0.00%,0.01%,0.01%,"$5.83B$5,829,039,593","$59,944,88759.95M"
17,Canton,CC,$0.1473,0.45%,3.26%,0.17%,"$5.65B$5,648,361,894","$23,975,156162.65M"
18,Zcash,ZEC,$338.52,1.02%,4.41%,2.10%,"$5.63B$5,629,957,341","$459,435,6881.35M"
19,Stellar,XLM,$0.1650,0.70%,5.58%,5.57%,"$5.47B$5,469,632,956","$144,642,228876.58M"
20,Dai,DAI,$0.9997,0.01%,0.01%,0.01%,"$5.36B$5,364,210,770","$88,804,13988.82M"
21,MemeCore,M,$3.67,0.35%,27.58%,38.89%,"$4.74B$4,739,659,994","$24,002,1806.53M"
22,Litecoin,LTC,$55.73,0.53%,1.27%,2.02%,"$4.3B$4,295,592,277","$287,506,7725.15M"
23,RaveDAO,RAVE,$16.76,3.90%,40.87%,3297.92%,"$4.16B$4,158,954,959","$339,075,05820.22M"
24,Avalanche,AVAX,$9.53,0.50%,1.22%,1.80%,"$4.12B$4,117,704,446","$346,168,98636.29M"
25,PayPal USD,PYUSD,$0.9995,0.01%,0.02%,0.06%,"$4.11B$4,110,067,556","$120,766,549120.81M"
26,World Liberty Financial USD,USD1,$1.00,0.01%,0.11%,0.11%,"$4.1B$4,095,571,522","$1,628,503,3091.62B"
27,Sui,SUI,$0.9796,0.05%,3.06%,4.44%,"$3.87B$3,872,825,024","$509,676,862520.27M"
28,Hedera,HBAR,$0.08868,0.31%,2.91%,2.04%,"$3.84B$3,841,792,248","$91,318,5521.02B"
29,Shiba Inu,SHIB,$0.056213,0.31%,5.09%,3.67%,"$3.66B$3,661,154,217","$161,738,47726.02T"
30,Toncoin,TON,$1.42,0.12%,4.23%,9.79%,"$3.54B$3,539,846,568","$143,058,470100.48M"
31,Cronos,CRO,$0.06997,0.19%,1.30%,0.06%,"$2.96B$2,963,814,380","$8,911,504127.39M"
32,Tether Gold,XAUt,"$4,768.33",0.10%,0.11%,0.05%,"$2.67B$2,669,784,005","$466,079,40597.76K"
33,World Liberty Financial,WLFI,$0.08166,0.09%,0.64%,12.88%,"$2.59B$2,593,947,019","$79,594,437976.48M"
34,Bittensor,TAO,$237.74,0.05%,2.71%,29.14%,"$2.58B$2,578,134,030","$274,499,0301.15M"
35,PAX Gold,PAXG,"$4,775.43",0.14%,0.26%,0.19%,"$2.36B$2,357,387,170","$222,161,75246.52K"
36,Global Dollar,USDG,$0.9999,0.01%,0.01%,0.01%,"$2.25B$2,250,749,838","$80,565,96980.57M"
37,Polkadot,DOT,$1.31,1.12%,11.16%,2.23%,"$2.21B$2,207,925,051","$395,490,683301.53M"
38,Mantle,MNT,$0.6606,0.25%,0.03%,0.78%,"$2.17B$2,165,573,714","$39,690,27660.10M"
39,Uniswap,UNI,$3.36,0.36%,4.89%,6.82%,"$2.14B$2,141,836,322","$249,066,14474.10M"
40,NEAR Protocol,NEAR,$1.40,0.34%,0.09%,2.77%,"$1.81B$1,810,702,863","$239,881,516171.29M"
41,OKB,OKB,$84.97,0.07%,0.63%,1.13%,"$1.78B$1,784,461,214","$33,325,468392.18K"
42,Pi,PI,$0.1731,0.73%,4.05%,2.28%,"$1.76B$1,755,621,239","$19,295,976111.47M"
43,Sky,SKY,$0.07559,0.46%,1.01%,2.67%,"$1.75B$1,752,895,778","$13,566,214179.46M"
44,Aave,AAVE,$111.53,1.83%,4.82%,21.48%,"$1.72B$1,716,039,862","$431,772,9753.87M"
45,Aster,ASTER,$0.6763,0.87%,2.48%,0.91%,"$1.68B$1,676,954,745","$126,317,790186.76M"
46,Pepe,PEPE,$0.053900,0.05%,6.13%,10.88%,"$1.61B$1,613,957,643","$797,133,123204.36T"
47,USDD,USDD,$1.00,0.01%,0.02%,0.00%,"$1.55B$1,550,085,816","$30,211,96130.20M"
48,Ripple USD,RLUSD,$0.9999,0.01%,0.00%,0.00%,"$1.48B$1,477,862,504","$161,175,442161.18M"
49,Internet Computer,ICP,$2.59,0.47%,4.96%,2.58%,"$1.43B$1,431,676,102","$69,093,11426.63M"
50,Ethereum Classic,ETC,$8.59,0.29%,1.82%,1.94%,"$1.34B$1,343,128,271","$63,849,6777.43M"
51,Bitget Token,BGB,$1.89,0.02%,0.39%,2.15%,"$1.32B$1,321,333,240","$22,470,08211.88M"
52,Ondo,ONDO,$0.2674,0.48%,5.35%,4.02%,"$1.3B$1,302,196,812","$88,670,639331.56M"
53,KuCoin Token,KCS,$8.56,0.17%,0.64%,1.83%,"$1.15B$1,153,410,315","$15,721,1881.83M"
54,United Stables,U,$0.9997,0.00%,0.00%,0.04%,"$1.03B$1,027,618,116","$1,791,857,4511.79B"
55,Worldcoin,WLD,$0.3109,2.26%,3.56%,16.16%,"$1.02B$1,018,784,228","$175,805,809565.39M"
56,Algorand,ALGO,$0.1119,0.19%,0.17%,1.00%,"$997.14M$997,136,553","$44,017,815393.61M"
57,siren,SIREN,$1.34,1.63%,62.91%,83.74%,"$981.48M$981,481,649","$73,748,22954.64M"
58,Ethena,ENA,$0.1089,2.87%,11.23%,19.04%,"$954.38M$954,380,038","$131,987,6291.21B"
59,Render,RENDER,$1.83,0.05%,2.92%,11.15%,"$953.27M$953,267,086","$95,935,06852.20M"
60,Polygon (prev. MATIC),POL,$0.08911,0.61%,4.20%,2.56%,"$946.97M$946,967,814","$61,888,788695.56M"
61,DeXe,DEXE,$11.09,0.11%,8.65%,34.87%,"$928.93M$928,929,592","$19,618,2361.76M"
62,Kaspa,KAS,$0.03339,0.21%,1.67%,3.41%,"$913.85M$913,849,954","$23,209,042696.31M"
63,Quant,QNT,$74.63,0.17%,1.47%,0.14%,"$901.08M$901,076,173","$8,869,225118.84K"
64,Cosmos,ATOM,$1.78,0.11%,1.89%,1.01%,"$899.67M$899,666,796","$65,891,38836.87M"
65,GateToken,GT,$7.09,0.11%,1.86%,8.62%,"$817.02M$817,017,574","$3,413,295481.21K"
66,Aptos,APT,$0.9722,1.09%,6.88%,14.19%,"$783.97M$783,965,378","$117,125,133120.31M"
67,Filecoin,FIL,$0.9996,0.08%,9.52%,10.89%,"$772.08M$772,078,906","$207,182,895207.37M"
68,Arbitrum,ARB,$0.1236,1.26%,6.52%,19.90%,"$747.03M$747,028,878","$158,875,3521.28B"
69,Morpho,MORPHO,$1.77,0.25%,3.70%,3.71%,"$725.15M$725,150,486","$28,725,95516.18M"
70,OFFICIAL TRUMP,TRUMP,$3.00,0.24%,6.37%,0.98%,"$698.56M$698,556,217","$254,160,12384.65M"
71,Flare,FLR,$0.008127,0.27%,1.00%,8.71%,"$696.39M$696,393,356","$2,843,526350.07M"
72,Pump.fun,PUMP,$0.001955,0.83%,2.83%,8.24%,"$649.54M$649,540,552","$82,437,86742.14B"
73,XDC Network,XDC,$0.03140,0.01%,1.70%,1.79%,"$626.25M$626,251,673","$21,980,718699.95M"
74,VeChain,VET,$0.007217,0.25%,3.10%,0.10%,"$620.57M$620,568,328","$23,734,2343.28B"
75,Jupiter,JUP,$0.1739,0.47%,3.57%,7.04%,"$617.8M$617,798,356","$25,413,904146.18M"
76,LayerZero,ZRO,$1.93,0.32%,0.33%,2.33%,"$608.63M$608,634,340","$33,980,64717.58M"
77,Midnight,NIGHT,$0.03593,1.82%,0.03%,12.46%,"$596.78M$596,779,116","$26,510,007736.69M"
78,Nexo,NEXO,$0.8966,0.00%,0.28%,0.97%,"$579.35M$579,347,161","$6,713,0177.48M"
79,Stable,STABLE,$0.02615,0.08%,0.04%,1.43%,"$571.39M$571,388,854","$94,312,3253.60B"
80,Bonk,BONK,$0.056381,0.06%,5.73%,7.41%,"$561.51M$561,505,596","$112,764,78417.63T"
81,JUST,JST,$0.06299,0.90%,10.40%,9.06%,"$538.23M$538,231,777","$92,119,3921.46B"
82,Artificial Superintelligence Alliance,FET,$0.2337,0.02%,2.20%,6.19%,"$528.02M$528,020,831","$166,299,607711.78M"
83,PancakeSwap,CAKE,$1.59,0.19%,0.23%,6.26%,"$523M$523,000,000","$40,057,14925.11M"
84,TrueUSD,TUSD,$0.9992,0.00%,0.00%,0.03%,"$494.16M$494,160,313","$14,315,34414.32M"
85,Pudgy Penguins,PENGU,$0.007552,0.08%,6.54%,13.63%,"$474.76M$474,758,544","$155,307,74820.52B"
86,Virtuals Protocol,VIRTUAL,$0.7222,0.04%,6.14%,6.84%,"$474.02M$474,021,688","$100,797,709139.39M"
87,Dash,DASH,$37.04,0.73%,3.04%,13.12%,"$469.08M$469,082,667","$96,157,7882.59M"
88,Chiliz,CHZ,$0.04237,0.07%,1.10%,8.12%,"$436.75M$436,753,180","$135,743,8453.20B"
89,Stacks,STX,$0.2399,0.18%,4.53%,7.30%,"$435.36M$435,358,562","$25,122,897104.82M"
90,EURC,EURC,$1.17,0.04%,0.17%,0.53%,"$425.2M$425,200,678","$41,565,05135.31M"
91,edgeX,EDGE,$1.19,0.29%,15.13%,24.55%,"$417.65M$417,650,035","$648,327,370543.31M"
92,First Digital USD,FDUSD,$0.9993,0.00%,0.01%,0.02%,"$410.7M$410,703,745","$367,024,809367.29M"
93,Sei,SEI,$0.05777,0.65%,3.73%,3.14%,"$402.98M$402,981,054","$34,623,588599.19M"
94,Monad,MON,$0.03402,1.77%,1.41%,7.99%,"$402.38M$402,382,576","$99,341,5242.91B"
95,Tezos,XTZ,$0.3687,0.17%,4.41%,3.72%,"$398.94M$398,940,537","$17,615,49447.79M"
96,Venice Token,VVV,$8.44,0.34%,4.06%,10.28%,"$384.88M$384,875,885","$18,122,8762.14M"
97,ether.fi,ETHFI,$0.4768,0.76%,5.77%,7.74%,"$375.37M$375,371,884","$40,638,72185.22M"
98,Decred,DCR,$20.58,0.39%,3.45%,5.78%,"$357.63M$357,633,637","$3,576,352173.69K"
99,Sun [New],SUN,$0.01844,0.25%,0.61%,4.26%,"$354.72M$354,722,872","$70,560,1123.82B"
100,Celestia,TIA,$0.3929,1.74%,20.54%,29.24%,"$355.7M$355,695,839","$115,230,554294.88M"
